,Period,Close,High,Low,Open,Volume,p_change,Prev Close,TR,atr14,atr21,pct_change,p_score,MA5,MA20,ma5_score,ma20_score,rsi,rsi_score,vol_avg5,vol_avg5_score,z_score,z_score_score,score,score_final
74,2022-10-05,11148.6396484375,11210.3203125,10910.759765625,11022.669921875,4091860000.0,-0.011428240839590709,11176.41015625,299.560546875,294.59946986607144,292.04022507440476,-0.002484743081567209,3,10890.721875,11292.376416015624,1,0,45.03564894010436,0,4535684000.0,0,-0.23120259689166878,3,1.6,46.66666666666667
75,2022-10-06,11073.3095703125,11230.4404296875,11051.26953125,11129.0400390625,4423320000.0,0.005007661806803481,11148.6396484375,179.1708984375,290.58021763392856,287.5169270833333,-0.006756885189625583,2,10957.8818359375,11252.935400390625,1,0,43.583719792276376,0,4517022000.0,0,-0.5288579426462182,3,1.3,36.66666666666667
76,2022-10-07,10652.400390625,10891.9296875,10608.51953125,10877.2802734375,4634190000.0,0.020674274925291797,11073.3095703125,464.7900390625,309.47237723214283,298.40215773809524,-0.038011145359464704,1,10973.237890625,11179.93994140625,0,0,36.502388062944625,0,4513918000.0,1,-2.706453486485508,1,0.6000000000000001,13.333333333333336
77,2022-10-10,10542.099609375,10669.9296875,10449.0400390625,10659.9501953125,3989640000.0,0.011055453710217374,10652.400390625,220.8896484375,311.5859375,296.03785342261904,-0.010354547069698405,2,10918.571875,11093.7244140625,0,0,34.902033362882534,0,4428758000.0,0,-0.7795198503578346,3,1.2000000000000002,33.33333333333334
78,2022-10-11,10426.1904296875,10608.83984375,10351.98046875,10484.3701171875,4738840000.0,0.005549182912249866,10542.099609375,256.859375,301.74874441964283,300.75111607142856,-0.01099488564729767,2,10768.5279296875,11033.355419921874,0,0,33.25220289096531,0,4375570000.0,1,-0.8241345181039668,3,1.3,36.66666666666667
79,2022-10-12,10417.099609375,10494.5302734375,10372.2099609375,10437.0,4091030000.0,0.0019067155911660439,10426.1904296875,122.3203125,296.5179966517857,275.05301339285717,-0.0008719215684585002,3,10622.219921875,10968.226416015625,0,0,33.119967283324286,0,4375404000.0,0,-0.11883158184064309,3,1.5,43.333333333333336
80,2022-10-13,10649.150390625,10697.7099609375,10088.830078125,10131.8203125,5300080000.0,-0.05105993416471775,10417.099609375,608.8798828125,316.14585658482144,297.18680245535717,0.022275949155863284,5,10537.3880859375,10923.06591796875,1,0,39.71068878361959,0,4550756000.0,1,1.4939629576792643,4,2.5,76.66666666666666
81,2022-10-14,10321.3896484375,10766.6904296875,10308.8095703125,10742.8095703125,4393000000.0,0.039228091973219366,10649.150390625,457.880859375,332.06947544642856,306.43731398809524,-0.030778111883558834,1,10471.1859375,10866.715380859376,0,0,34.53410475210063,0,4502518000.0,0,-2.202502300951683,1,0.5,10.0
82,2022-10-17,10675.7998046875,10696.58984375,10569.6904296875,10575.650390625,4439190000.0,-0.009469811346191955,10321.3896484375,375.2001953125,337.44370814732144,313.09254092261904,0.0343374456659189,5,10497.9259765625,10823.75439453125,1,0,43.162063477628934,0,4592428000.0,0,2.334330347903925,5,2.6,80.0
83,2022-10-18,10772.400390625,10972.9697265625,10670.1201171875,10963.990234375,5047360000.0,0.01747446318853106,10675.7998046875,302.849609375,335.85009765625,317.97586495535717,0.009048557270162183,3,10567.16796875,10791.121923828125,1,0,45.278987903940404,0,4654132000.0,1,0.5723634870664567,3,1.7,50.0
